項番,番号,都道府県,遺跡名,所在地,サンプル採取地点等,試料の種類,試料コード1,試料コード2,時代,時代詳細,時代コード,試料番号,測定方法,C14年代,C14年代±,暦年較正用C14年代,暦年較正用C14年代±,δ13C（AMS）,δ13C（AMS）±,δ13C（IRMS）,分析者（著者）,分析機関,刊行年,報告タイトル,ページ,備考,報告書名,発行者
11,30861,45：宮崎県,上多々良遺跡,延岡市岡富町字上多々良,試料番号:№３　2号火葬墓　,炭化物,T,h,古墳時代?古代,須恵器,DE,不明,AMS法,1130,30,----,----,-26.78,0.71,----,応用地質,不明,2011,上多々良遺跡C調査区火葬墓における放射性炭素年代測定,116?119,----,上多々良遺跡　延岡市文化財報告書　第45集　岡富古川土地区画整理事業に伴う埋蔵文化財発掘調査報告書　,延岡市教育委員会
12,30860,45：宮崎県,上多々良遺跡,延岡市岡富町字上多々良,試料番号:№２　2号火葬墓,炭化物,T,h,古墳時代?古代,須恵器,DE,不明,AMS法,1200,30,----,----,-30.78,0.8,----,応用地質,不明,2011,上多々良遺跡C調査区火葬墓における放射性炭素年代測定,116?119,----,上多々良遺跡　延岡市文化財報告書　第45集　岡富古川土地区画整理事業に伴う埋蔵文化財発掘調査報告書　,延岡市教育委員会
13,30859,45：宮崎県,上多々良遺跡,延岡市岡富町字上多々良,試料番号:№１　C調査区　1号火葬墓　,炭化物,T,h,古墳時代?古代,須恵器,DE,不明,AMS法,1230,30,----,----,-27.65,0.81,----,応用地質,不明,2011,上多々良遺跡C調査区火葬墓における放射性炭素年代測定,116?119,----,上多々良遺跡　延岡市文化財報告書　第45集　岡富古川土地区画整理事業に伴う埋蔵文化財発掘調査報告書　,延岡市教育委員会
14,30863,45：宮崎県,上多々良遺跡,延岡市岡富町字上多々良,試料番号:07R0713　2区南東G第2水面田検出,炭化物,T,h,古墳時代?古代,12?13世紀･土師器･須恵器,DE,UGAMS-R02631,不明,680,40,----,----,----,----,----,財団法人九州環境管理協会,不明,2011,自然科学分析,190?193,----,上多々良遺跡　延岡市文化財報告書　第45集　岡富古川土地区画整理事業に伴う埋蔵文化財発掘調査報告書　,延岡市教育委員会
15,30856,45：宮崎県,上多々良遺跡,延岡市岡富町字上多々良,試料№:№1　2号住居炉跡内,炭化物,T,h,古墳時代?古代,安国寺式袋状口縁壺,DE,PED-14071,AMS法,1720,20,----,----,-23.44,0.13,----,古環境研究所,古環境研究所,2011,上多々良遺跡B調査区1･2号住居址検出炭化物における放射性炭素年代測定,70?72,----,上多々良遺跡　延岡市文化財報告書　第45集　岡富古川土地区画整理事業に伴う埋蔵文化財発掘調査報告書　,延岡市教育委員会
16,30929,45：宮崎県,上安久遺跡,都城市安久町,試料名:№１　SA01M層,炭化物,T,h,弥生時代?古墳時代,----,CD,PED-12943,AMS法,1755,25,----,----,-26.98,0.16,----,古環境研究所,古環境研究所,2011,都城市教育委員会:上安久遺跡発掘調査に係る自然科学分析委託,100?105,----,都城市文化財調査報告書　第103集　王子原遺跡･上安久遺跡　-市道今町安久線道路整備計画に伴う埋蔵文化財発掘調査報告書-,都城市教育委員会
17,30786,45：宮崎県,下ノ山遺跡,佐土原町,試料名:№２堰遺構北側杭2,木材(マツ属複維束亜属),T,d,弥生時代?中世,----,CDEF,Beta-161281,β線法,1570,60,----,----,----,----,-28.2,古環境研究所,Beta Analytic Inc.,2003,下ノ山遺跡における放射性炭素年代測定,63?64,----,宮崎県佐土原町文化財調査報告書　第26集　下ノ山遺跡　,佐土原町教育委員会
18,30785,45：宮崎県,下ノ山遺跡,佐土原町,試料名:№１堰遺構南側杭1,木材(マツ属複維束亜属),T,d,弥生時代?中世,----,CDEF,Beta-160568,β線法,1220,50,----,----,----,----,-29,古環境研究所,Beta Analytic Inc.,2003,下ノ山遺跡における放射性炭素年代測定,63?64,----,宮崎県佐土原町文化財調査報告書　第26集　下ノ山遺跡　,佐土原町教育委員会
19,31154,45：宮崎県,下耳切第3遺跡,児湯郡高鍋町大字上江字下耳切,試料名:№3　SC43埋土底部,炭化種実(イチイガシ),T,g,縄文時代中期,----,B,Beta-165177,AMS法,4400,40,----,----,----,----,-23.6,古環境研究所,Beta Analytic Inc.,2006,自然科学分析の結果,242?261,----,宮崎県埋蔵文化財センター発掘調査報告書　第125集　　下耳切第3遺跡[第1分冊:旧石器?縄文時代編]　東九州自動車道建設(都農?西都間)に伴う埋蔵文化財発掘調査報告書30,宮崎県埋蔵文化財センター
20,31153,45：宮崎県,下耳切第3遺跡,児湯郡高鍋町大字上江字下耳切,試料名:№2　SC43埋土底部,炭化種実(イチイガシ),T,g,縄文時代中期,----,B,Beta-165176,AMS法,4430,40,----,----,----,----,-23.1,古環境研究所,Beta Analytic Inc.,2006,自然科学分析の結果,242?261,----,宮崎県埋蔵文化財センター発掘調査報告書　第125集　　下耳切第3遺跡[第1分冊:旧石器?縄文時代編]　東九州自動車道建設(都農?西都間)に伴う埋蔵文化財発掘調査報告書30,宮崎県埋蔵文化財センター
21,31152,45：宮崎県,下耳切第3遺跡,児湯郡高鍋町大字上江字下耳切,試料名:№1　SC42埋土底部,炭化種実(イチイガシ),T,g,縄文時代中期,----,B,Beta-165175,AMS法,4380,40,----,----,----,----,-23.7,古環境研究所,Beta Analytic Inc.,2006,自然科学分析の結果,242?261,----,宮崎県埋蔵文化財センター発掘調査報告書　第125集　　下耳切第3遺跡[第1分冊:旧石器?縄文時代編]　東九州自動車道建設(都農?西都間)に伴う埋蔵文化財発掘調査報告書30,宮崎県埋蔵文化財センター
22,31311,45：宮崎県,中ノ迫第2遺跡,児湯郡川南町大字川南字中の迫,試料名:SA1-4 　A区B5-2,炭化材一括(コナラ属コナラ亜科コナラ節),T,f,弥生時代,4世紀中頃?6世紀初頭,C,IAAA-70349,AMS法,1640,30,1643,32,-29.13,0.66,----,パリノ・サーヴェイ,加速器分析研究所,2008,自然科学分析,80?85,----,宮崎県埋蔵文化財センター発掘調査報告書　第167集　中ノ迫第2遺跡　東九州自動車道(都農?西都間)建設に伴う埋蔵文化財発掘調査報告書56,宮崎県埋蔵文化財センター
23,30928,45：宮崎県,中尾下遺跡,都城市下川東四丁目,試料名:№１　SB02-E　年代測定①,木材,T,d,古代,----,E,PED-14724,AMS法,1275,20,----,----,-21.23,0.23,----,古環境研究所,古環境研究所,2010,中尾下遺跡における放射性炭素年代測定,58?59,----,都城市文化財調査報告書　第98集　中尾下遺跡　霧島酒造株式会社工場等建設事業に伴う埋蔵文化財発掘調査報告書,都城市教育委員会
24,31049,45：宮崎県,中尾遺跡,都城市蓑原町字中尾,試料名:№2　2号住居主柱穴(東),炭化材(ヤマグワ),T,f,弥生時代終末?古墳時代,----,CD,Beta-136476,AMS法,1780,40,----,----,----,----,-23.1,古環境研究所,Beta Analytic Inc.,2001,放射性炭素年代測定,75?76,----,宮崎県埋蔵文化財センター発掘調査報告書　第42集　梅北佐土原遺跡･中尾遺跡･蓑原遺跡　農用地整備事業｢都城区域｣農業用道路建設に伴う埋蔵文化財発掘調査報告書(1),宮崎県埋蔵文化財センター
25,31048,45：宮崎県,中尾遺跡,都城市蓑原町字中尾,試料名:№1　1号住居床直上,炭化物,T,h,弥生時代終末?古墳時代,----,CD,Beta-136475,AMS法,1660,50,----,----,----,----,-29.3,古環境研究所,Beta Analytic Inc.,2001,放射性炭素年代測定,75?76,----,宮崎県埋蔵文化財センター発掘調査報告書　第42集　梅北佐土原遺跡･中尾遺跡･蓑原遺跡　農用地整備事業｢都城区域｣農業用道路建設に伴う埋蔵文化財発掘調査報告書(1),宮崎県埋蔵文化財センター
26,31465,45：宮崎県,中野内遺跡,延岡市北浦町古江字中野内,分析番号:178　SE1(トレンチ5の7層)Code №:10493-20,炭化材(広葉樹),T,f,弥生時代中期?古墳時代中期前半,----,CD,不明,AMS法,1035,18,----,----,-26.46,0.19,----,パリノ･サーヴェイ,不明,2010,種実同定と放射性炭素年代測定,131?132･137,----,宮崎県埋蔵文化財センター発掘調査報告書　第189集　海舞寺遺跡･市之串遺跡･中野内遺跡･森ノ上遺跡(弥生･古墳時代編)･力ラ石の元遺跡　東九州自動車道(県境?北川間)建設に伴う埋蔵文化財発掘調査報告書1,宮崎県埋蔵文化財センター
27,31467,45：宮崎県,中野内遺跡,延岡市北浦町古江字中野内,分析番号:180　SE1(トレンチ5の4層)Code №:10493-22,炭化材(広葉樹),T,f,弥生時代中期?古墳時代中期前半,----,CD,不明,AMS法,577,18,----,----,-26.37,0.22,----,パリノ･サーヴェイ,不明,2010,種実同定と放射性炭素年代測定,131?132･137,----,宮崎県埋蔵文化財センター発掘調査報告書　第189集　海舞寺遺跡･市之串遺跡･中野内遺跡･森ノ上遺跡(弥生･古墳時代編)･力ラ石の元遺跡　東九州自動車道(県境?北川間)建設に伴う埋蔵文化財発掘調査報告書1,宮崎県埋蔵文化財センター
28,31466,45：宮崎県,中野内遺跡,延岡市北浦町古江字中野内,分析番号:179　SE1(トレンチ4の5a層)Code №:10493-21,炭化材(コナラ節),T,f,弥生時代中期?古墳時代中期前半,----,CD,不明,AMS法,956,19,----,----,-27.29,0.18,----,パリノ･サーヴェイ,不明,2010,種実同定と放射性炭素年代測定,131?132･137,----,宮崎県埋蔵文化財センター発掘調査報告書　第189集　海舞寺遺跡･市之串遺跡･中野内遺跡･森ノ上遺跡(弥生･古墳時代編)･力ラ石の元遺跡　東九州自動車道(県境?北川間)建設に伴う埋蔵文化財発掘調査報告書1,宮崎県埋蔵文化財センター
29,31458,45：宮崎県,中野内遺跡,延岡市北浦町古江字中野内,分析番号:166　SE1(トレンチ5の6層)Code №:10493-13,炭化材(コナラ節),T,f,弥生時代中期?古墳時代中期前半,----,CD,不明,AMS法,606,17,----,----,-24.34,0.21,----,パリノ･サーヴェイ,不明,2010,種実同定と放射性炭素年代測定,131?132･137,----,宮崎県埋蔵文化財センター発掘調査報告書　第189集　海舞寺遺跡･市之串遺跡･中野内遺跡･森ノ上遺跡(弥生･古墳時代編)･力ラ石の元遺跡　東九州自動車道(県境?北川間)建設に伴う埋蔵文化財発掘調査報告書1,宮崎県埋蔵文化財センター
30,31106,45：宮崎県,五ヶ村遺跡,西臼杵郡高千穂町大字岩戸字中ノ迫,試料名:№2　5号住居跡,炭化材,T,f,弥生時代,----,C,Beta-137690,β線法,1860,70,----,----,----,----,-26.6,古環境研究所,Beta Analytic Inc.,2003,5号竪穴住居跡出土炭化材の自然科学分析,33?35,----,宮崎県埋蔵文化財センター発掘調査報告書　第75集　五ヶ村遺跡･大野原遺跡　県営広域営農団地農道整備事業西臼杵第3期地区に伴う埋蔵文化財発掘調査報告書,宮崎県埋蔵文化財センター
31,31108,45：宮崎県,五ヶ村遺跡,西臼杵郡高千穂町大字岩戸字中ノ迫,試料名:№4　5号住居跡,炭化材,T,f,弥生時代,----,C,Beta-137692,β線法,1840,70,----,----,----,----,-25,古環境研究所,Beta Analytic Inc.,2003,5号竪穴住居跡出土炭化材の自然科学分析,33?35,----,宮崎県埋蔵文化財センター発掘調査報告書　第75集　五ヶ村遺跡･大野原遺跡　県営広域営農団地農道整備事業西臼杵第3期地区に伴う埋蔵文化財発掘調査報告書,宮崎県埋蔵文化財センター
32,31107,45：宮崎県,五ヶ村遺跡,西臼杵郡高千穂町大字岩戸字中ノ迫,試料名:№3　5号住居跡,炭化材,T,f,弥生時代,----,C,Beta-137691,β線法,1900,70,----,----,----,----,-25.2,古環境研究所,Beta Analytic Inc.,2003,5号竪穴住居跡出土炭化材の自然科学分析,33?35,----,宮崎県埋蔵文化財センター発掘調査報告書　第75集　五ヶ村遺跡･大野原遺跡　県営広域営農団地農道整備事業西臼杵第3期地区に伴う埋蔵文化財発掘調査報告書,宮崎県埋蔵文化財センター
33,31105,45：宮崎県,五ヶ村遺跡,西臼杵郡高千穂町大字岩戸字中ノ迫,試料名:№1　5号住居跡,炭化材,T,f,弥生時代,----,C,Beta-137689,β線法,1740,60,----,----,----,----,-25.7,古環境研究所,Beta Analytic Inc.,2003,5号竪穴住居跡出土炭化材の自然科学分析,33?35,----,宮崎県埋蔵文化財センター発掘調査報告書　第75集　五ヶ村遺跡･大野原遺跡　県営広域営農団地農道整備事業西臼杵第3期地区に伴う埋蔵文化財発掘調査報告書,宮崎県埋蔵文化財センター
34,30763,45：宮崎県,五反畑遺跡A地区,清武町大字船引字五反畑,試料名:№2　SC-11,炭化材,T,f,縄文時代,----,B,Beta-243841,AMS法,3160,40,----,----,----,----,-25.8,古環境研究所,Beta Analytic Inc.,2009,自然科学分析,76?80,----,清武町埋蔵文化財調査報告書　第28集　五反畑遺跡A地区　県営農免農道整備事業船引2期地区工事にかかる埋蔵文化財調査報告書,清武町教育委員会
35,30765,45：宮崎県,五反畑遺跡A地区,清武町大字船引字五反畑,試料名:№4　SC-15,炭化材,T,f,縄文時代,----,B,Beta-243843,AMS法,3190,40,----,----,----,----,-25.6,古環境研究所,Beta Analytic Inc.,2009,自然科学分析,76?80,----,清武町埋蔵文化財調査報告書　第28集　五反畑遺跡A地区　県営農免農道整備事業船引2期地区工事にかかる埋蔵文化財調査報告書,清武町教育委員会
36,30764,45：宮崎県,五反畑遺跡A地区,清武町大字船引字五反畑,試料名:№3　SE-13,炭化材,T,f,平安時代,9世紀前半,E,Beta-243842,AMS法,1300,40,----,----,----,----,-25.8,古環境研究所,Beta Analytic Inc.,2009,自然科学分析,76?80,----,清武町埋蔵文化財調査報告書　第28集　五反畑遺跡A地区　県営農免農道整備事業船引2期地区工事にかかる埋蔵文化財調査報告書,清武町教育委員会
37,30762,45：宮崎県,五反畑遺跡A地区,清武町大字船引字五反畑,試料名:№1　SZ-2,炭化材,T,f,平安時代,9世紀後半,E,Beta-243840,AMS法,1280,40,----,----,----,----,-26.3,古環境研究所,Beta Analytic Inc.,2009,自然科学分析,76?80,----,清武町埋蔵文化財調査報告書　第28集　五反畑遺跡A地区　県営農免農道整備事業船引2期地区工事にかかる埋蔵文化財調査報告書,清武町教育委員会
38,31036,45：宮崎県,井尻遺跡,宮崎市大字跡江字井尻46124296-3,B区　Ⅲ層　,土壌に含まれる有機物,T,k,古代?中世,----,EF,Beta-139534,不明,2450,70,----,----,----,----,----,古環境研究所,Beta Analytic Inc.,2001,自然科学分析の結果,43?48,----,宮崎県埋蔵文化財センター発掘調査報告書　第35集　井尻遺跡･雀田遺跡･沖ノ田遺跡　主要地方道南俣宮崎線道路改築事業に伴う発掘調査報告書　,宮崎県埋蔵文化財センター
39,31163,45：宮崎県,今井野第2遺跡,延岡市天下町1716ほか,試料名:1　3トレンチ5層下部,木材,T,d,縄文時代早期,----,B,Beta-169704,β線法,1300,60,----,----,----,----,-30.1,古環境研究所,Beta Analytic Inc.,2006,今井野第2遺跡における放射性炭素年代測定,33,----,宮崎県埋蔵文化財センター発掘調査報告書　第135集　今井野第2遺跡･天下城山遺跡　一般国道10号延岡道路建設に伴う埋蔵文化財発掘調査報告書　,宮崎県埋蔵文化財センター
40,30917,45：宮崎県,今房遺跡,都城市横市町5830番地他,試料名:№1　SA01(住居跡),炭化材(クリ),T,f,弥生時代,----,C,Beta-137693,β線法,2060,60,----,----,----,----,-27,古環境研究所,Beta Analytic Inc.,2007,今房遺跡における放射性炭素年代測定,78,----,都城市文化財調査報告書　第80集　今房遺跡,都城市教育委員会
41,30779,45：宮崎県,伊賀給遺跡,佐土原町大字下那珂字伊賀給,試料名:№1Aトレンチ溝内,炭化材(カヤ),T,f,弥生時代後期,----,C,Beta-108070,β線法,3530,60,----,----,----,----,-26.5,古環境研究所,Beta Analytic Inc.,1999,伊賀給遺跡における放射性炭素年代測定,19,----,宮崎県佐土原町文化財調査報告書　第14集　伊賀給遺跡,佐土原町教育委員会
42,31721,45：宮崎県,俵石第2遺跡,児湯郡都農町大字川北字俵石,試料№4　委託№:№7　№66SC1焼土①e,炭化材,T,f,後期旧石器時代?近世,----,ABCDEFG,PED-18847,AMS法,185,20,185,22,-25.3,0.22,----,古環境研究所,古環境研究所,2012,放射性炭素年代測定,112?113,----,宮崎県埋蔵文化財センター発掘調査報告書　第216集　俵石第1遺跡(第2次調査)･俵石第2遺跡　東九州自動車道(日向?都農間)建設に伴う埋蔵文化財発掘調査報告書8　,宮崎県埋蔵文化財センター
43,31671,45：宮崎県,働女木遺跡,都城市五十町4687番地他,試料№2　試料2SA2/P1内,炭化材,T,f,弥生時代中期後半,----,C,PED-14955,AMS法,2175,20,2177,21,-28.22,0.16,----,古環境研究所,古環境研究所,2011,放射性炭素年代測定,86?88,----,宮崎県埋蔵文化財センター発掘調査報告書　第205集　働女木遺跡　都城東環状線(今町工区)地域高規格道路整備事業に伴う埋蔵文化財発掘調査報告書3,宮崎県埋蔵文化財センター
44,31672,45：宮崎県,働女木遺跡,都城市五十町4687番地他,試料№3　試料3SA4/№23,炭化材,T,f,弥生時代中期後半,----,C,PED-14956,AMS法,2140,20,2141,21,-26.97,0.14,----,古環境研究所,古環境研究所,2011,放射性炭素年代測定,86?88,----,宮崎県埋蔵文化財センター発掘調査報告書　第205集　働女木遺跡　都城東環状線(今町工区)地域高規格道路整備事業に伴う埋蔵文化財発掘調査報告書3,宮崎県埋蔵文化財センター
45,31674,45：宮崎県,働女木遺跡,都城市五十町4687番地他,試料№5　試料5SZ1/一括,炭化材,T,f,弥生時代中期後半,----,C,PED-14958,AMS法,2125,25,2126,24,-30.09,0.17,----,古環境研究所,古環境研究所,2011,放射性炭素年代測定,86?88,----,宮崎県埋蔵文化財センター発掘調査報告書　第205集　働女木遺跡　都城東環状線(今町工区)地域高規格道路整備事業に伴う埋蔵文化財発掘調査報告書3,宮崎県埋蔵文化財センター
46,31673,45：宮崎県,働女木遺跡,都城市五十町4687番地他,試料№4　試料4SA6/№1,炭化材,T,f,弥生時代中期後半,----,C,PED-14957,AMS法,2150,25,2149,25,-26.53,0.31,----,古環境研究所,古環境研究所,2011,放射性炭素年代測定,86?88,----,宮崎県埋蔵文化財センター発掘調査報告書　第205集　働女木遺跡　都城東環状線(今町工区)地域高規格道路整備事業に伴う埋蔵文化財発掘調査報告書3,宮崎県埋蔵文化財センター
47,31679,45：宮崎県,働女木遺跡,都城市五十町4687番地他,試料№10　試料24Ⅹ層(Sz-11)№1,炭化材,T,f,縄文時代早期,----,B,PED-14963,AMS法,6985,25,6984,27,-27.25,0.14,----,古環境研究所,古環境研究所,2011,放射性炭素年代測定,86?88,----,宮崎県埋蔵文化財センター発掘調査報告書　第205集　働女木遺跡　都城東環状線(今町工区)地域高規格道路整備事業に伴う埋蔵文化財発掘調査報告書3,宮崎県埋蔵文化財センター
48,31678,45：宮崎県,働女木遺跡,都城市五十町4687番地他,試料№9　試料23SA12/№7,炭化材,T,f,弥生時代中期後半,----,C,PED-14962,AMS法,2115,20,2114,21,-24.88,0.18,----,古環境研究所,古環境研究所,2011,放射性炭素年代測定,86?88,----,宮崎県埋蔵文化財センター発掘調査報告書　第205集　働女木遺跡　都城東環状線(今町工区)地域高規格道路整備事業に伴う埋蔵文化財発掘調査報告書3,宮崎県埋蔵文化財センター
49,31677,45：宮崎県,働女木遺跡,都城市五十町4687番地他,試料№8　試料11SA11/№69,炭化材,T,f,弥生時代中期後半,----,C,PED-14961,AMS法,2105,20,2107,21,-28.23,0.12,----,古環境研究所,古環境研究所,2011,放射性炭素年代測定,86?88,----,宮崎県埋蔵文化財センター発掘調査報告書　第205集　働女木遺跡　都城東環状線(今町工区)地域高規格道路整備事業に伴う埋蔵文化財発掘調査報告書3,宮崎県埋蔵文化財センター
50,31676,45：宮崎県,働女木遺跡,都城市五十町4687番地他,試料№7　試料8SA9/№2(炉内),炭化材,T,f,弥生時代中期後半,----,C,PED-14960,AMS法,2120,25,2118,23,-24.9,0.15,----,古環境研究所,古環境研究所,2011,放射性炭素年代測定,86?88,----,宮崎県埋蔵文化財センター発掘調査報告書　第205集　働女木遺跡　都城東環状線(今町工区)地域高規格道路整備事業に伴う埋蔵文化財発掘調査報告書3,宮崎県埋蔵文化財センター
51,31675,45：宮崎県,働女木遺跡,都城市五十町4687番地他,試料№6　試料6SA7/P2内,炭化材,T,f,弥生時代中期後半,----,C,PED-14959,AMS法,2130,25,2129,23,-26.2,0.13,----,古環境研究所,古環境研究所,2011,放射性炭素年代測定,86?88,----,宮崎県埋蔵文化財センター発掘調査報告書　第205集　働女木遺跡　都城東環状線(今町工区)地域高規格道路整備事業に伴う埋蔵文化財発掘調査報告書3,宮崎県埋蔵文化財センター
52,31670,45：宮崎県,働女木遺跡,都城市五十町4687番地他,試料№1　試料1 SA1,炭化材,T,f,弥生時代中期後半,----,C,PED-14954,AMS法,2140,20,2138,21,-27.91,0.16,----,古環境研究所,古環境研究所,2011,放射性炭素年代測定,86?88,----,宮崎県埋蔵文化財センター発掘調査報告書　第205集　働女木遺跡　都城東環状線(今町工区)地域高規格道路整備事業に伴う埋蔵文化財発掘調査報告書3,宮崎県埋蔵文化財センター
53,31203,45：宮崎県,八幡第2遺跡,児湯郡川南町大字川南字八幡山,④SA7-26,炭化種実(イチイガシ),T,g,弥生時代後期後葉,----,C,不明,AMS法,1940,40,----,----,----,----,-25.9,古環境研究所,不明,2007,放射性炭素年代測定,54?55,----,宮崎県埋蔵文化財センター発掘調査報告書　第148集　八幡第2遺跡　東九州自動車道(都農?西都間)建設に伴う埋蔵文化財発掘調査報告書43,宮崎県埋蔵文化財センター
54,31202,45：宮崎県,八幡第2遺跡,児湯郡川南町大字川南字八幡山,③SA4-5,炭化種実(イネ),T,g,弥生時代後期後葉,----,C,不明,AMS法,1990,40,----,----,----,----,-23.2,古環境研究所,不明,2007,放射性炭素年代測定,54?55,----,宮崎県埋蔵文化財センター発掘調査報告書　第148集　八幡第2遺跡　東九州自動車道(都農?西都間)建設に伴う埋蔵文化財発掘調査報告書43,宮崎県埋蔵文化財センター
