項番,番号,都道府県,遺跡名,所在地,サンプル採取地点等,試料の種類,試料コード1,試料コード2,時代,時代詳細,時代コード,試料番号,測定方法,C14年代,C14年代±,暦年較正用C14年代,暦年較正用C14年代±,δ13C（AMS）,δ13C（AMS）±,δ13C（IRMS）,分析者（著者）,分析機関,刊行年,報告タイトル,ページ,備考,報告書名,発行者
11,29201,41：佐賀県,仁田古墳群,唐津市浜玉町谷口･渕上,P4001,炭化材,T,f,古代,----,E,PLD-12102,AMS法,1115,20,1114,21,-25.74,0.12,----,伊藤茂･尾嵜大真･丹生越子･廣田正史･瀬谷薫･小林紘一･Zaur　Lomtatidze･Ineza　Jorjoliani･中村賢太郎,パレオ・ラボ,2011,放射性炭素年代測定,216?221,----,佐賀県文化財調査報告書　第188集　仁田古墳群Ⅱ　仁田古墳群4区･仁田埴輪窯跡･矢作遺跡3区　-西九州自動車道建設に係る文化財調査報告書(10)-,佐賀県教育委員会
12,29200,41：佐賀県,仁田古墳群,唐津市浜玉町谷口･渕上,SK430,炭化材,T,f,古墳時代?中世,----,DEF,PLD-12101,AMS法,1220,20,1222,20,-27.01,0.15,----,伊藤茂･尾嵜大真･丹生越子･廣田正史･瀬谷薫･小林紘一･Zaur　Lomtatidze･Ineza　Jorjoliani･中村賢太郎,パレオ・ラボ,2011,放射性炭素年代測定,216?221,----,佐賀県文化財調査報告書　第188集　仁田古墳群Ⅱ　仁田古墳群4区･仁田埴輪窯跡･矢作遺跡3区　-西九州自動車道建設に係る文化財調査報告書(10)-,佐賀県教育委員会
13,29203,41：佐賀県,仁田埴輪窯跡,唐津市浜玉町渕上,SO405　西1区,炭化材(6-10y),T,f,古墳時代,----,D,PLD-12104,AMS法,1650,20,1649,20,-25.97,0.21,----,伊藤茂･尾嵜大真･丹生越子･廣田正史･瀬谷薫･小林紘一･Zaur　Lomtatidze･Ineza　Jorjoliani･中村賢太郎,パレオ・ラボ,2011,放射性炭素年代測定,216?221,ウィグルマッチング,佐賀県文化財調査報告書　第188集　仁田古墳群Ⅱ　仁田古墳群4区･仁田埴輪窯跡･矢作遺跡3区　-西九州自動車道建設に係る文化財調査報告書(10)-,佐賀県教育委員会
14,29207,41：佐賀県,仁田埴輪窯跡,唐津市浜玉町渕上,SO405　西1区,炭化材(26-30?y),T,f,古墳時代,----,D,PLD-12108,AMS法,1690,20,1689,21,-28.51,0.13,----,伊藤茂･尾嵜大真･丹生越子･廣田正史･瀬谷薫･小林紘一･Zaur　Lomtatidze･Ineza　Jorjoliani･中村賢太郎,パレオ・ラボ,2011,放射性炭素年代測定,216?221,ウィグルマッチング,佐賀県文化財調査報告書　第188集　仁田古墳群Ⅱ　仁田古墳群4区･仁田埴輪窯跡･矢作遺跡3区　-西九州自動車道建設に係る文化財調査報告書(10)-,佐賀県教育委員会
15,29206,41：佐賀県,仁田埴輪窯跡,唐津市浜玉町渕上,SO405　西1区,炭化材(21-25y),T,f,古墳時代,----,D,PLD-12107,AMS法,1670,20,1672,20,-27.2,0.18,----,伊藤茂･尾嵜大真･丹生越子･廣田正史･瀬谷薫･小林紘一･Zaur　Lomtatidze･Ineza　Jorjoliani･中村賢太郎,パレオ・ラボ,2011,放射性炭素年代測定,216?221,ウィグルマッチング,佐賀県文化財調査報告書　第188集　仁田古墳群Ⅱ　仁田古墳群4区･仁田埴輪窯跡･矢作遺跡3区　-西九州自動車道建設に係る文化財調査報告書(10)-,佐賀県教育委員会
16,29205,41：佐賀県,仁田埴輪窯跡,唐津市浜玉町渕上,SO405　西1区,炭化材(16-20y),T,f,古墳時代,----,D,PLD-12106,AMS法,1695,20,1694,22,-28.62,0.24,----,伊藤茂･尾嵜大真･丹生越子･廣田正史･瀬谷薫･小林紘一･Zaur　Lomtatidze･Ineza　Jorjoliani･中村賢太郎,パレオ・ラボ,2011,放射性炭素年代測定,216?221,ウィグルマッチング,佐賀県文化財調査報告書　第188集　仁田古墳群Ⅱ　仁田古墳群4区･仁田埴輪窯跡･矢作遺跡3区　-西九州自動車道建設に係る文化財調査報告書(10)-,佐賀県教育委員会
17,29204,41：佐賀県,仁田埴輪窯跡,唐津市浜玉町渕上,SO405　西1区,炭化材(11-15y),T,f,古墳時代,----,D,PLD-12105,AMS法,1685,20,1683,20,-25.85,0.12,----,伊藤茂･尾嵜大真･丹生越子･廣田正史･瀬谷薫･小林紘一･Zaur　Lomtatidze･Ineza　Jorjoliani･中村賢太郎,パレオ・ラボ,2011,放射性炭素年代測定,216?221,ウィグルマッチング,佐賀県文化財調査報告書　第188集　仁田古墳群Ⅱ　仁田古墳群4区･仁田埴輪窯跡･矢作遺跡3区　-西九州自動車道建設に係る文化財調査報告書(10)-,佐賀県教育委員会
18,29202,41：佐賀県,仁田埴輪窯跡,唐津市浜玉町渕上,SO405　西1区,炭化材(1-5y),T,f,古墳時代,----,D,PLD-12103,AMS法,1640,20,1641,20,-27.43,0.12,----,伊藤茂･尾嵜大真･丹生越子･廣田正史･瀬谷薫･小林紘一･Zaur　Lomtatidze･Ineza　Jorjoliani･中村賢太郎,パレオ・ラボ,2011,放射性炭素年代測定,216?221,ウィグルマッチング,佐賀県文化財調査報告書　第188集　仁田古墳群Ⅱ　仁田古墳群4区･仁田埴輪窯跡･矢作遺跡3区　-西九州自動車道建設に係る文化財調査報告書(10)-,佐賀県教育委員会
19,29353,41：佐賀県,佐賀城跡(5区),佐賀市城内1丁目地内,試料№:№1　SB5040 掘立柱建物跡　P3柱穴　最外部,木材(柱材:ハイノキ属),T,d,中世,16世紀,F,PED-15904,AMS法,370,20,368,20,-26.06,0.17,----,杉山真二,古環境研究所,2010,放射性炭素年代測定,38?39,----,佐賀市埋蔵文化財調査報告書　第56集　佐賀城跡　-4･5区の調査-,佐賀市教育委員会
20,29120,41：佐賀県,半田大園遺跡,唐津市半田,試料名:C14-2　SX-05　5層下部,木材,T,d,弥生時代,----,C,IAAA-62877,AMS法,920,30,919,31,-29.56,0.58,----,パリノ･サーヴェイ,加速器分析研究所,2008,年代測定,51?53,----,唐津市文化財調査報告書　第144集　半田大園遺跡　,唐津市教育委員会
21,29121,41：佐賀県,半田大園遺跡,唐津市半田,試料名:C14-3　SX-05　6層,木材,T,d,弥生時代,----,C,IAAA-62878,AMS法,960,30,956,31,-27.75,0.65,----,パリノ･サーヴェイ,加速器分析研究所,2008,年代測定,51?53,----,唐津市文化財調査報告書　第144集　半田大園遺跡　,唐津市教育委員会
22,29123,41：佐賀県,半田大園遺跡,唐津市半田,試料名:C14-5　SX-05　一括,木材,T,d,弥生時代,----,C,IAAA-62880,AMS法,930,30,929,31,-27.04,0.65,----,パリノ･サーヴェイ,加速器分析研究所,2008,年代測定,51?53,----,唐津市文化財調査報告書　第144集　半田大園遺跡　,唐津市教育委員会
23,29122,41：佐賀県,半田大園遺跡,唐津市半田,試料名:C14-4　SX-05　最下部,木材,T,d,弥生時代,----,C,IAAA-62879,AMS法,2170,30,2165,33,-27.91,0.65,----,パリノ･サーヴェイ,加速器分析研究所,2008,年代測定,51?53,----,唐津市文化財調査報告書　第144集　半田大園遺跡　,唐津市教育委員会
24,29119,41：佐賀県,半田大園遺跡,唐津市半田,試料名:C14-1　SX-05　4層,木材,T,d,弥生時代,----,C,IAAA-62876,AMS法,980,30,982,31,-26.35,0.66,----,パリノ･サーヴェイ,加速器分析研究所,2008,年代測定,51?53,----,唐津市文化財調査報告書　第144集　半田大園遺跡　,唐津市教育委員会
25,3252,41：佐賀県,吉野ヶ里遺跡,神埼市大字志波屋・鶴・田道ケ里/吉野ヶ里町大字田手・大曲,----,漆漆膜,T,i,弥生時代後期?,----,C,PLD-4943,AMS法,1920,25,----,----,-28.27,0.13,----,学術創成研究グループ,パレオ・ラボ,2009,地域別測定データ,139-524,REK-NG-6,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館
26,549,41：佐賀県,吉野ヶ里遺跡,神埼市大字志波屋・鶴・田道ケ里/吉野ヶ里町大字田手・大曲,田手地区，ユンボ作業中に出土,種実コメ,T,g,弥生時代中期,須玖Ⅰ式,C,IAAA-30251,AMS法,2140,40,----,----,-23.61,0.86,----,学術創成研究グループ,加速器分析研究所,2009,地域別測定データ,139-524,FJ-1,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館
27,29229,41：佐賀県,吉野ヶ里遺跡(志波屋四の坪地区･Ⅱ区),神埼市大字志波屋,試料名:№2　396調査区　竪穴建物跡(SH2241) 床面,炭化材,T,f,弥生時代前期前半･後期後半?終末,----,C,Beta-316698,AMS法,2440,30,----,----,----,----,-24.8,古環境研究所,Beta Analytic Inc.,2016,放射性炭素年代測定,496?497,----,佐賀県文化財調査報告書　第211集　吉野ヶ里遺跡　-国営吉野ヶ里歴史公園整備に伴う埋蔵文化財調査報告書3-,佐賀県教育委員会
28,29228,41：佐賀県,吉野ヶ里遺跡(志波屋四の坪地区･Ⅱ区),神埼市大字志波屋,試料名:№1　395調査区　竪穴建物跡(SH2203) 床面　,炭化材,T,f,弥生時代前期前半･後期後半?終末,----,C,Beta-316697,AMS法,2420,30,----,----,----,----,-25.4,古環境研究所,Beta Analytic Inc.,2016,放射性炭素年代測定,496?497,----,佐賀県文化財調査報告書　第211集　吉野ヶ里遺跡　-国営吉野ヶ里歴史公園整備に伴う埋蔵文化財調査報告書3-,佐賀県教育委員会
29,29088,41：佐賀県,唐ノ川高峰遺跡,唐津市唐ノ川字高峰,貯蔵穴　TOT.Ⅱ　SK8922　コモ下,木片,T,d,縄文時代晩期,----,B,Gak-15032,β線法,3220,180,----,----,----,----,----,パリノ･サーヴェイ,学習院大学理学部年代測定室,1996,14C年代測定,62,----,唐津市文化財調査報告書　第72集　唐ノ川高峰遺跡(3),唐津市教育委員会
30,29142,41：佐賀県,坂の下縄文遺跡,西松浦郡有田町,貯蔵穴内(地表より-60以下),植物質遺物,T,de,縄文時代中期末?後期初頭,----,B,Kuri-0049,β線法,3850,80,3849,78,----,----,----,坂田武彦,九州大学理学部　放射線同位元素総合実験室,1971,遺物のC14による年代測定,75,----,坂の下縄文遺跡　第2次発掘調査,佐賀県教育委員会
31,29094,41：佐賀県,外原遺跡,唐津市半田字外原,試料№6　SK10,炭化材,T,f,中世,----,F,Gak-20532,β線法,1600,60,----,----,----,----,-28.4,パリノ･サーヴェイ,学習院大学理学部年代測定室,2001,分析,33?41,----,唐津市文化財調査報告書　第98集　外原遺跡,唐津市教育委員会
32,29096,41：佐賀県,外原遺跡,唐津市半田字外原,試料№8　SK30,炭化材,T,f,中世,----,F,Gak-20534,β線法,1190,50,----,----,----,----,-28.1,パリノ･サーヴェイ,学習院大学理学部年代測定室,2001,分析,33?41,----,唐津市文化財調査報告書　第98集　外原遺跡,唐津市教育委員会
33,29095,41：佐賀県,外原遺跡,唐津市半田字外原,試料№7　SK29,炭化材,T,f,中世,----,F,Gak-20533,β線法,1000,50,----,----,----,----,-28.5,パリノ･サーヴェイ,学習院大学理学部年代測定室,2001,分析,33?41,----,唐津市文化財調査報告書　第98集　外原遺跡,唐津市教育委員会
34,29093,41：佐賀県,外原遺跡,唐津市半田字外原,試料№5　SK09,炭化材,T,f,中世,----,F,Gak-20531,β線法,900,60,----,----,----,----,-27.6,パリノ･サーヴェイ,学習院大学理学部年代測定室,2001,分析,33?41,----,唐津市文化財調査報告書　第98集　外原遺跡,唐津市教育委員会
35,29090,41：佐賀県,外原遺跡,唐津市半田字外原,試料№2　SK02,炭化材,T,f,中世,----,F,Gak-20527,β線法,1210,60,----,----,----,----,-30.8,パリノ･サーヴェイ,学習院大学理学部年代測定室,2001,分析,33?41,----,唐津市文化財調査報告書　第98集　外原遺跡,唐津市教育委員会
36,29091,41：佐賀県,外原遺跡,唐津市半田字外原,試料№3　SK06,炭化材,T,f,中世,----,F,Gak-20528,β線法,880,70,----,----,----,----,-29.4,パリノ･サーヴェイ,学習院大学理学部年代測定室,2001,分析,33?41,----,唐津市文化財調査報告書　第98集　外原遺跡,唐津市教育委員会
37,29092,41：佐賀県,外原遺跡,唐津市半田字外原,試料№4　SK07,炭化材,T,f,中世,----,F,Gak-20529,β線法,1410,90,----,----,----,----,-25.8,パリノ･サーヴェイ,学習院大学理学部年代測定室,2001,分析,33?41,----,唐津市文化財調査報告書　第98集　外原遺跡,唐津市教育委員会
38,29089,41：佐賀県,外原遺跡,唐津市半田字外原,試料№1　SK01,炭化材,T,f,中世,----,F,Gak-20526,β線法,1030,60,----,----,----,----,-35,パリノ･サーヴェイ,学習院大学理学部年代測定室,2001,分析,33?41,----,唐津市文化財調査報告書　第98集　外原遺跡,唐津市教育委員会
39,29132,41：佐賀県,宇木汲田貝塚,唐津市宇木汲田,----,炭化米,T,g,弥生時代初期,板付Ⅰ式,C,KURI-0054,β線法,2240,50,----,----,----,----,----,高島良正,九州大学理学部　放射線同位元素総合実験室,1982,縄文晩期および弥生前期のコメ,565?571,----,唐津市文化財調査報告　第5集　菜畑遺跡,唐津市教育委員会
40,29140,41：佐賀県,宇木汲田貝塚,唐津市宇木汲田,6区西端貝層中,木炭,T,f,不明,----,不明,不明,β線法,2240,50,----,----,----,----,----,高島良正,九州大学理学部　放射線同位元素総合実験室,1982,遺構,135?140,----,末盧国　佐賀賢唐津市･東松浦郡の考古学的調査研究,賀來壽一
41,29141,41：佐賀県,宇木汲田貝塚,唐津市宇木汲田,1区黒土中(表土下60㎝),木炭,T,f,不明,----,不明,不明,β線法,2180,ー,----,----,----,----,----,高島良正,九州大学理学部　放射線同位元素総合実験室,1982,遺構,135?140,----,末盧国　佐賀賢唐津市･東松浦郡の考古学的調査研究,賀來壽一
42,29131,41：佐賀県,宇木汲田貝塚,唐津市宇木汲田,----,炭化米,T,g,縄文時代晩期,夜臼式,B,KURI-0053,β線法,2370,50,----,----,----,----,----,高島良正,九州大学理学部　放射線同位元素総合実験室,1982,縄文晩期および弥生前期のコメ,565?571,----,唐津市文化財調査報告　第5集　菜畑遺跡,唐津市教育委員会
43,29147,41：佐賀県,岸田南遺跡,鳥栖市今町字岸田,1区　SK101　貯蔵穴,イチイガシ果実,T,e,縄文時代,----,B,IAAA-10534,AMS法,3730,40,----,----,25,1.39,----,パリノ･サーヴェイ,加速器分析研究所,2003,岸田南遺跡出土種実の放射性炭素年代測定,205,----,佐賀県文化財調査報告書　第158集　柚比遺跡群4　-鳥栖北部丘陵新都市関係文化財調査報告書5-,佐賀県教育委員会
44,29146,41：佐賀県,岸田南遺跡,鳥栖市今町字岸田,1区　SK101　貯蔵穴,イチイガシ果実,T,e,縄文時代,----,B,IAAA-10533,AMS法,4080,40,----,----,26.37,1.35,----,パリノ･サーヴェイ,加速器分析研究所,2003,岸田南遺跡出土種実の放射性炭素年代測定,205,----,佐賀県文化財調査報告書　第158集　柚比遺跡群4　-鳥栖北部丘陵新都市関係文化財調査報告書5-,佐賀県教育委員会
45,29144,41：佐賀県,平原遺跡,鳥栖市柚比町字平原,SX204,炭化材(コナラ属コナラ亜属の一種:ブナ科),T,f,縄文時代中期,----,B,Gak-16541,β線法,4700,120,----,----,----,----,----,パリノ･サーヴェイ,学習院大学理学部年代測定室,1993,縄文時代中期の集石に関する分析調査,192?193,----,佐賀県文化財調査報告書　第120集　平原遺跡Ⅱ　-本川川防災調節池事業関係文化財調査報告書2-,佐賀県教育委員会
46,29143,41：佐賀県,平原遺跡,鳥栖市柚比町字平原,SX202,炭化材(コナラ属コナラ亜属の一種:ブナ科),T,f,縄文時代中期,----,B,Gak-16540,β線法,4580,140,----,----,----,----,----,パリノ･サーヴェイ,学習院大学理学部年代測定室,1993,縄文時代中期の集石に関する分析調査,192?193,----,佐賀県文化財調査報告書　第120集　平原遺跡Ⅱ　-本川川防災調節池事業関係文化財調査報告書2-,佐賀県教育委員会
47,29101,41：佐賀県,徳蔵谷遺跡,唐津市佐志,試料番号2　貯蔵穴SK09,種実(アカガシ亜属),T,e,縄文時代?室町時代,----,BCDEF,IAAA-31282,AMS法,2440,40,2440,38,-29.97,0.57,----,パリノ･サーヴェイ,加速器分析研究所,2004,徳蔵谷遺跡の自然科学分析,85?98,----,唐津市文化財調査報告書　第117集　徳蔵谷遺跡,唐津市教育委員会
48,29102,41：佐賀県,徳蔵谷遺跡,唐津市佐志,試料番号3　h-P32,土壌,T,k,縄文時代?室町時代,----,BCDEF,IAAA-31286,AMS法,4470,40,4472,42,-24.8,1.05,----,パリノ･サーヴェイ,加速器分析研究所,2004,徳蔵谷遺跡の自然科学分析,85?98,----,唐津市文化財調査報告書　第117集　徳蔵谷遺跡,唐津市教育委員会
49,29100,41：佐賀県,徳蔵谷遺跡,唐津市佐志,試料番号1　貯蔵穴SK08,種実(アカガシ亜属),T,e,縄文時代?室町時代,----,BCDEF,IAAA-31281,AMS法,2390,40,2386,34,-31.01,0.62,----,パリノ･サーヴェイ,加速器分析研究所,2004,徳蔵谷遺跡の自然科学分析,85?98,----,唐津市文化財調査報告書　第117集　徳蔵谷遺跡,唐津市教育委員会
50,29290,41：佐賀県,東名遺跡,佐賀市金立町大字千布字東名,整理番号:19　SK2035,堅果(イチイガシ),T,e,縄文時代早期,----,B,NUTA2-10877,AMS法,6950,30,6950,32,-28,1,----,中村俊夫,名古屋大学年代測定総合研究センター,2009,東名遺跡の堆積物及び出土遺物の年代,108?114,----,佐賀市埋蔵文化財調査報告書　第40集　東名遺跡群Ⅱ　第6分冊　,佐賀市教育委員会
51,29310,41：佐賀県,東名遺跡,佐賀市金立町大字千布字東名,Hベルト貝層　出土区/試料名:W-H6b　上位,堅果(オニグルミ),T,e,縄文時代早期,----,B,NUTA2-13659,AMS法,6915,25,6917,27,-26,1,----,中村俊夫,名古屋大学年代測定総合研究センター,2009,東名遺跡の堆積物及び出土遺物の年代,108?114,----,佐賀市埋蔵文化財調査報告書　第40集　東名遺跡群Ⅱ　第6分冊　,佐賀市教育委員会
52,29312,41：佐賀県,東名遺跡,佐賀市金立町大字千布字東名,Hベルト貝層　出土区/試料名:W-H7 上位,堅果(オニグルミ),T,e,縄文時代早期,----,B,NUTA2-13660,AMS法,6925,25,6924,27,-31,1,----,中村俊夫,名古屋大学年代測定総合研究センター,2009,東名遺跡の堆積物及び出土遺物の年代,108?114,----,佐賀市埋蔵文化財調査報告書　第40集　東名遺跡群Ⅱ　第6分冊　,佐賀市教育委員会
53,29321,41：佐賀県,東名遺跡,佐賀市金立町大字千布字東名,上層検出の土坑から出土　SK2002　最上位,木杭(K22666),T,d,縄文時代早期,----,B,NUTA2-13661,AMS法,6575,25,6574,26,-27.5,1,----,中村俊夫,名古屋大学年代測定総合研究センター,2009,東名遺跡の堆積物及び出土遺物の年代,108?114,----,佐賀市埋蔵文化財調査報告書　第40集　東名遺跡群Ⅱ　第6分冊　,佐賀市教育委員会
54,29323,41：佐賀県,東名遺跡,佐賀市金立町大字千布字東名,上層検出の土坑から出土　SK2002 　5層下部,堅果(ナラガシワ）,T,e,縄文時代早期,----,B,NUTA2-13855,AMS法,6625,35,6624,36,-24,1,----,中村俊夫,名古屋大学年代測定総合研究センター,2009,東名遺跡の堆積物及び出土遺物の年代,108?114,----,佐賀市埋蔵文化財調査報告書　第40集　東名遺跡群Ⅱ　第6分冊　,佐賀市教育委員会
55,29329,41：佐賀県,東名遺跡,佐賀市金立町大字千布字東名,整理番号:6　中層検出の土坑から出土　SK2093 　南半,堅果(イチイガシ),T,e,縄文時代早期,----,B,NUTA2-13368,AMS法,6965,35,6963,34,-24.7,1,----,中村俊夫,名古屋大学年代測定総合研究センター,2009,東名遺跡の堆積物及び出土遺物の年代,108?114,----,佐賀市埋蔵文化財調査報告書　第40集　東名遺跡群Ⅱ　第6分冊　,佐賀市教育委員会
56,29331,41：佐賀県,東名遺跡,佐賀市金立町大字千布字東名,整理番号:8　中?下層検出の土坑から出土　SK2138　東半4層　,堅果(ナラガシワ),T,e,縄文時代早期,----,B,NUTA2-13203,AMS法,6970,40,6968,40,-26,1,----,中村俊夫,名古屋大学年代測定総合研究センター,2009,東名遺跡の堆積物及び出土遺物の年代,108?114,----,佐賀市埋蔵文化財調査報告書　第40集　東名遺跡群Ⅱ　第6分冊　,佐賀市教育委員会
57,29337,41：佐賀県,東名遺跡,佐賀市金立町大字千布字東名,整理番号:15　下層検出の土坑から出土　SK2056,編物②(ムクロジ),T,d,縄文時代早期,----,B,NUTA2-13212,AMS法,6945,45,6945,47,-30.5,1,----,中村俊夫,名古屋大学年代測定総合研究センター,2009,東名遺跡の堆積物及び出土遺物の年代,108?114,----,佐賀市埋蔵文化財調査報告書　第40集　東名遺跡群Ⅱ　第6分冊　,佐賀市教育委員会
58,29373,41：佐賀県,東名遺跡,佐賀市金立町大字千布字東名,第4貝塚　貝層　№18トレンチ　4-W-1a　①北壁5層　カキ層,木片,T,d,縄文時代早期,----,B,NUTA2-18516,AMS法,6805,30,6807,28,----,----,-30.9,中村俊夫,名古屋大学年代測定総合研究センター,2014,第3?第6貝塚より採取した試料の14C年代,104?107,NUTA2-18386再測定,佐賀市埋蔵文化財調査報告書　第85集　東名遺跡群Ⅲ　-東名遺跡第3?6貝塚(保存地区)の調査-,佐賀市教育委員会
59,29437,41：佐賀県,東名遺跡,佐賀市金立町大字千布字東名,№37　試料番号:SM1-37　貝塚名:1　ジオスライサー　サンプル名:GS1-1(調査時),木片,T,d,縄文時代早期,----,B,NUTA2-10086,AMS法,6485,25,6486,24,-28,1,----,中村俊夫,名古屋大学年代測定総合研究センター,2016,東名遺跡出土遺物の14C年代,56?67,----,佐賀市埋蔵文化財調査報告書　第100集　東名遺跡群Ⅳ　-東名遺跡群総括報告書【第1分冊】-,佐賀市教育委員会
60,29439,41：佐賀県,東名遺跡,佐賀市金立町大字千布字東名,№39　試料番号:SM1-39　貝塚名:1　ジオスライサー　サンプル名:GS1-7(調査時),木片,T,d,縄文時代早期,----,B,NUTA2-10088,AMS法,6800,25,6798,24,-28,1,----,中村俊夫,名古屋大学年代測定総合研究センター,2016,東名遺跡出土遺物の14C年代,56?67,----,佐賀市埋蔵文化財調査報告書　第100集　東名遺跡群Ⅳ　-東名遺跡群総括報告書【第1分冊】-,佐賀市教育委員会
