項番,番号,都道府県,遺跡名,所在地,サンプル採取地点等,試料の種類,試料コード1,試料コード2,時代,時代詳細,時代コード,試料番号,測定方法,C14年代,C14年代±,暦年較正用C14年代,暦年較正用C14年代±,δ13C（AMS）,δ13C（AMS）±,δ13C（IRMS）,分析者（著者）,分析機関,刊行年,報告タイトル,ページ,備考,報告書名,発行者
17,32009,43：熊本県,万太郎遺跡,菊池市森北万太郎上原国領森北西森北,試料名:№3　4号住居址カマド埋土,炭化物,T,h,古代,9世紀代前半･土師器,E,Beta-255379,AMS法,1320,40,----,----,----,----,-28.1,古環境研究所,Beta Analytic Inc.,2012,万太郎遺跡･森北院ノ馬場･迫畑遺跡における自然科学分析,184?190,----,菊池市文化財調査報告　第6集　万太郎遺跡･森北院ノ馬場･迫畑遺跡　,菊池市教育委員会
18,720,43：熊本県,上小田宮の前遺跡,玉名市上小田,Ⅰ区北側包含層9c層,種実エゴ,T,g,縄文時代後期末,天城式,B,IAAA-40828,AMS法,2940,40,----,----,-34.27,0.92,-28.3,学術創成研究グループ,加速器分析研究所,2009,地域別測定データ,139-524,FJ-0594 b,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館
19,719,43：熊本県,上小田宮の前遺跡,玉名市上小田,Ⅰ区北側包含層9c層,種実カシ類（ドングリ）,T,g,縄文時代後期末,天城式,B,IAAA-40827,AMS法,3030,40,----,----,-29.42,0.83,-27.1,学術創成研究グループ,加速器分析研究所,2009,地域別測定データ,139-524,FJ-0594 a,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館
20,32584,43：熊本県,上日置女夫木遺跡,八代市上日置町字女夫木,試料名:№4　1-3区C-96層,炭化物,T,h,弥生時代後期,----,C,Beta-178420,AMS法,2440,40,----,----,----,----,-28,古環境研究所,Beta Analytic Inc.,2005,放射性炭素年代測定,135?136,----,八代市文化財調査報告書　第26集　上日置女夫木遺跡,八代市教育委員会
21,32583,43：熊本県,上日置女夫木遺跡,八代市上日置町字女夫木,試料名:№3　1-3区C-96層,炭化物,T,h,弥生時代後期,----,C,Beta-178419,AMS法,2420,40,----,----,----,----,-27.5,古環境研究所,Beta Analytic Inc.,2005,放射性炭素年代測定,135?136,----,八代市文化財調査報告書　第26集　上日置女夫木遺跡,八代市教育委員会
22,32582,43：熊本県,上日置女夫木遺跡,八代市上日置町字女夫木,試料名:№2　1-3区SD06埋土5層,炭化物,T,h,弥生時代後期,----,C,Beta-178418,AMS法,1680,40,----,----,----,----,-25.1,古環境研究所,Beta Analytic Inc.,2005,放射性炭素年代測定,135?136,----,八代市文化財調査報告書　第26集　上日置女夫木遺跡,八代市教育委員会
23,32581,43：熊本県,上日置女夫木遺跡,八代市上日置町字女夫木,試料名:№1　1-1区E-84層,炭化物,T,h,弥生時代後期,----,C,Beta-178417,AMS法,2230,40,----,----,----,----,-25.9,古環境研究所,Beta Analytic Inc.,2005,放射性炭素年代測定,135?136,----,八代市文化財調査報告書　第26集　上日置女夫木遺跡,八代市教育委員会
24,31963,43：熊本県,下の原遺跡,阿蘇市小里字下の原,試料番号:9　SK1-C1,炭化材(カエデ属),T,f,弥生時代後期,----,C,IAAA-103446,AMS法,1940,30,1941,27,-26.05,0.71,----,パリノ・サーヴェイ,加速器分析研究所,2012,下の原遺跡の自然科学分析,17?25,----,阿蘇市文化財調査報告書　第3集　下の原遺跡　-市営住宅再整備事業(内牧地区)に伴う埋蔵文化財発掘調査-,阿蘇市教育委員会
25,31962,43：熊本県,下の原遺跡,阿蘇市小里字下の原,試料番号:8　SH1-C15,炭化材(散孔材2),T,f,弥生時代後期,----,C,IAAA-103445,AMS法,1990,30,1993,27,-23.67,0.54,----,パリノ・サーヴェイ,加速器分析研究所,2012,下の原遺跡の自然科学分析,17?25,----,阿蘇市文化財調査報告書　第3集　下の原遺跡　-市営住宅再整備事業(内牧地区)に伴う埋蔵文化財発掘調査-,阿蘇市教育委員会
26,32494,43：熊本県,下堀切遺跡,八代市豊原下町,試料名:③下堀切Site､第3トレンチ　溝4層,建築部材,T,d,弥生時代後期,弥生後期土器,C,KSU-1640,β線法,1880,30,----,----,----,----,----,山田浩,京都産業大学理学部,1989,下堀切遺跡の14C年代測定結果,51,----,八代市文化財調査報告書　第4集　下堀切遺跡Ⅱ　,八代市教育委員会
27,32495,43：熊本県,下堀切遺跡,八代市豊原下町,試料名:④下堀切Site､第1トレンチ　溝4層,種子,T,g,弥生時代後期,弥生後期土器,C,KSU-1641,β線法,1780,30,----,----,----,----,----,山田浩,京都産業大学理学部,1989,下堀切遺跡の14C年代測定結果,51,----,八代市文化財調査報告書　第4集　下堀切遺跡Ⅱ　,八代市教育委員会
28,32496,43：熊本県,下堀切遺跡,八代市豊原下町,試料名:⑤下堀切Site､第1トレンチ　溝5層,木片,T,d,弥生時代後期,弥生後期土器,C,KSU-1642,β線法,1880,40,----,----,----,----,----,山田浩,京都産業大学理学部,1989,下堀切遺跡の14C年代測定結果,51,----,八代市文化財調査報告書　第4集　下堀切遺跡Ⅱ　,八代市教育委員会
29,32493,43：熊本県,下堀切遺跡,八代市豊原下町,試料名:②下堀切Site､第1トレンチ　溝4層,木片,T,d,弥生時代後期,弥生後期土器,C,KSU-1639,β線法,1910,30,----,----,----,----,----,山田浩,京都産業大学理学部,1989,下堀切遺跡の14C年代測定結果,51,----,八代市文化財調査報告書　第4集　下堀切遺跡Ⅱ　,八代市教育委員会
30,32220,43：熊本県,両迫間日渡遺跡,玉名市両迫間,実測番号:16　06-Ⅱ区　B12　9?10層,生木(クリ),T,d,弥生時代中期?後期,----,C,IAAA-110362,AMS法,1830,20,1829,24,-28.58,0.51,----,パリノ・サーヴェイ(編集:亀田),加速器分析研究所,2012,両迫間日渡遺跡の自然科学分析(分析抜粋),96?99,----,熊本県文化財調査報告　第268集　長山前田遺跡･両迫間日渡遺跡1,熊本県教育委員会
31,32527,43：熊本県,両迫間日渡遺跡,玉名市玉名字石町･両迫間字龍王田,試料№12　S-01,木片(クスノキ),T,d,古墳時代,4世紀末?5世紀前葉,D,PED-11760,AMS法,1885,25,1885,23,-29.54,0.19,----,古環境研究所,古環境研究所,2009,両迫間日渡遺跡における放射性炭素年代測定,442?446,----,玉名市文化財調査報告　第19集　両迫間日渡遺跡　九州新幹線新玉名駅周辺整備事業に伴う埋蔵文化財発掘調査,玉名市教育委員会
32,32529,43：熊本県,両迫間日渡遺跡,玉名市玉名字石町･両迫間字龍王田,№1　丸杭1-3,木材,T,d,弥生時代前期?中期,----,C,不明,AMS法,1960,25,1960,23,-28.26,0.14,----,吉田生物研究所,不明,2009,玉名市両迫間日渡遺跡(調査Ⅰ区)出土木製品の放射性炭素年代測定,500?505,----,玉名市文化財調査報告　第19集　両迫間日渡遺跡　九州新幹線新玉名駅周辺整備事業に伴う埋蔵文化財発掘調査,玉名市教育委員会
33,32528,43：熊本県,両迫間日渡遺跡,玉名市玉名字石町･両迫間字龍王田,試料№13　S-18,木片(クスノキ),T,d,古墳時代,土師器･5世紀前半?中葉,D,PED-11761,AMS法,1875,25,1876,23,-30.23,0.2,----,古環境研究所,古環境研究所,2009,両迫間日渡遺跡における放射性炭素年代測定,442?446,----,玉名市文化財調査報告　第19集　両迫間日渡遺跡　九州新幹線新玉名駅周辺整備事業に伴う埋蔵文化財発掘調査,玉名市教育委員会
34,32526,43：熊本県,両迫間日渡遺跡,玉名市玉名字石町･両迫間字龍王田,試料№11　S-19,木片(クスノキ),T,d,弥生時代?古墳時代,----,CD,PED-11759,AMS法,1790,25,1791,23,-28.98,0.15,----,古環境研究所,古環境研究所,2009,両迫間日渡遺跡における放射性炭素年代測定,442?446,----,玉名市文化財調査報告　第19集　両迫間日渡遺跡　九州新幹線新玉名駅周辺整備事業に伴う埋蔵文化財発掘調査,玉名市教育委員会
35,32525,43：熊本県,両迫間日渡遺跡,玉名市玉名字石町･両迫間字龍王田,試料№10　S-18,木片,T,d,古墳時代,5世紀前半?中葉,D,PED-11758,AMS法,1815,20,1815,22,-28.98,0.18,----,古環境研究所,古環境研究所,2009,両迫間日渡遺跡における放射性炭素年代測定,442?446,----,玉名市文化財調査報告　第19集　両迫間日渡遺跡　九州新幹線新玉名駅周辺整備事業に伴う埋蔵文化財発掘調査,玉名市教育委員会
36,32524,43：熊本県,両迫間日渡遺跡,玉名市玉名字石町･両迫間字龍王田,試料№9　AH-27Ⅳ層,木片,T,d,縄文時代晩期?弥生時代,----,BC,PED-11757,AMS法,1950,25,1949,23,-29.23,0.16,----,古環境研究所,古環境研究所,2009,両迫間日渡遺跡における放射性炭素年代測定,442?446,----,玉名市文化財調査報告　第19集　両迫間日渡遺跡　九州新幹線新玉名駅周辺整備事業に伴う埋蔵文化財発掘調査,玉名市教育委員会
37,32523,43：熊本県,両迫間日渡遺跡,玉名市玉名字石町･両迫間字龍王田,試料№8　AD-28Ⅲd層　,木片,T,d,古墳時代,5?6世紀,D,PED-11756,AMS法,1785,20,1787,22,-25.51,0.16,----,古環境研究所,古環境研究所,2009,両迫間日渡遺跡における放射性炭素年代測定,442?446,----,玉名市文化財調査報告　第19集　両迫間日渡遺跡　九州新幹線新玉名駅周辺整備事業に伴う埋蔵文化財発掘調査,玉名市教育委員会
38,32522,43：熊本県,両迫間日渡遺跡,玉名市玉名字石町･両迫間字龍王田,試料№7　S-14付近　東南,炭化物,T,h,古墳時代,----,D,PED-11755,AMS法,1700,20,1700,22,-28.08,0.14,----,古環境研究所,古環境研究所,2009,両迫間日渡遺跡における放射性炭素年代測定,442?446,----,玉名市文化財調査報告　第19集　両迫間日渡遺跡　九州新幹線新玉名駅周辺整備事業に伴う埋蔵文化財発掘調査,玉名市教育委員会
39,32521,43：熊本県,両迫間日渡遺跡,玉名市玉名字石町･両迫間字龍王田,試料№6　S-14南側黒色土上面,炭化物,T,h,古墳時代,----,D,PED-11754,AMS法,2165,20,2164,22,-24.78,0.21,----,古環境研究所,古環境研究所,2009,両迫間日渡遺跡における放射性炭素年代測定,442?446,----,玉名市文化財調査報告　第19集　両迫間日渡遺跡　九州新幹線新玉名駅周辺整備事業に伴う埋蔵文化財発掘調査,玉名市教育委員会
40,32520,43：熊本県,両迫間日渡遺跡,玉名市玉名字石町･両迫間字龍王田,試料№5　S-14,炭化物,T,h,古墳時代,5世紀後半?末,D,PED-11753,AMS法,1920,20,1920,22,-26.21,0.17,----,古環境研究所,古環境研究所,2009,両迫間日渡遺跡における放射性炭素年代測定,442?446,----,玉名市文化財調査報告　第19集　両迫間日渡遺跡　九州新幹線新玉名駅周辺整備事業に伴う埋蔵文化財発掘調査,玉名市教育委員会
41,32519,43：熊本県,両迫間日渡遺跡,玉名市玉名字石町･両迫間字龍王田,試料№4　15T西側ベルト,炭化物,T,h,古墳時代,----,D,PED-11752,AMS法,2075,20,2076,21,-26.56,0.15,----,古環境研究所,古環境研究所,2009,両迫間日渡遺跡における放射性炭素年代測定,442?446,----,玉名市文化財調査報告　第19集　両迫間日渡遺跡　九州新幹線新玉名駅周辺整備事業に伴う埋蔵文化財発掘調査,玉名市教育委員会
42,32518,43：熊本県,両迫間日渡遺跡,玉名市玉名字石町･両迫間字龍王田,試料№3　15T西側ベルト,炭化物,T,h,古墳時代,----,D,PED-11751,AMS法,2035,20,2035,22,-26.04,0.14,----,古環境研究所,古環境研究所,2009,両迫間日渡遺跡における放射性炭素年代測定,442?446,----,玉名市文化財調査報告　第19集　両迫間日渡遺跡　九州新幹線新玉名駅周辺整備事業に伴う埋蔵文化財発掘調査,玉名市教育委員会
43,32517,43：熊本県,両迫間日渡遺跡,玉名市玉名字石町･両迫間字龍王田,試料№2　AA-20S-14③層,種子(クスノキ),T,e,古墳時代,手捏土器･土師器･須恵器,D,PED-11796,AMS法,1245,20,1247,22,-30.1,0.14,----,古環境研究所,古環境研究所,2009,両迫間日渡遺跡における放射性炭素年代測定,442?446,----,玉名市文化財調査報告　第19集　両迫間日渡遺跡　九州新幹線新玉名駅周辺整備事業に伴う埋蔵文化財発掘調査,玉名市教育委員会
44,32516,43：熊本県,両迫間日渡遺跡,玉名市玉名字石町･両迫間字龍王田,試料№1　AF-28Ⅲe層　,種子(オニクルミ),T,e,弥生時代?古墳時代,----,CD,PED-11795,AMS法,1655,20,1655,22,-27.34,0.17,----,古環境研究所,古環境研究所,2009,両迫間日渡遺跡における放射性炭素年代測定,442?446,----,玉名市文化財調査報告　第19集　両迫間日渡遺跡　九州新幹線新玉名駅周辺整備事業に伴う埋蔵文化財発掘調査,玉名市教育委員会
45,32223,43：熊本県,両迫間日渡遺跡,玉名市両迫間,実測番号:30　06-Ⅱ区　B12　9･10層,生木(クリ),T,d,弥生時代中期?後期,----,C,IAAA-110365,AMS法,1850,30,1851,25,-29.67,0.43,----,パリノ・サーヴェイ(編集:亀田),加速器分析研究所,2012,両迫間日渡遺跡の自然科学分析(分析抜粋),96?99,----,熊本県文化財調査報告　第268集　長山前田遺跡･両迫間日渡遺跡1,熊本県教育委員会
46,32222,43：熊本県,両迫間日渡遺跡,玉名市両迫間,実測番号:25　06-Ⅱ区　D10　9層,生木(クリ),T,d,弥生時代中期?後期,----,C,IAAA-110364,AMS法,1900,30,1904,25,-28.37,0.42,----,パリノ・サーヴェイ(編集:亀田),加速器分析研究所,2012,両迫間日渡遺跡の自然科学分析(分析抜粋),96?99,----,熊本県文化財調査報告　第268集　長山前田遺跡･両迫間日渡遺跡1,熊本県教育委員会
47,32221,43：熊本県,両迫間日渡遺跡,玉名市両迫間,実測番号:20　06-Ⅱ区　D10　9層,生木(クリ),T,d,弥生時代中期?後期,----,C,IAAA-110363,AMS法,1890,20,1892,24,-27.4,0.5,----,パリノ・サーヴェイ(編集:亀田),加速器分析研究所,2012,両迫間日渡遺跡の自然科学分析(分析抜粋),96?99,----,熊本県文化財調査報告　第268集　長山前田遺跡･両迫間日渡遺跡1,熊本県教育委員会
48,32279,43：熊本県,両迫間日渡遺跡,玉名市両迫間,試料名:AMS-1 Code№8938-1,杭(木材:コナラ属アカガシ亜属),T,d,弥生時代後期,----,C,PLD-4622,AMS法,1895,30,1894,28,-30.51,0.13,----,パリノ・サーヴェイ,パレオ・ラボ,2014,両迫間日渡遺跡の自然科学分析,344?352,----,熊本県文化財調査報告　第299集　玉名平野条里跡3･両迫間日渡遺跡2･玉名の平城跡　県道玉名山鹿線改良工事に伴う埋蔵文化財発掘調査･県道6号(玉名立花線)拡幅工事に伴う埋蔵文化財調査　,熊本県教育委員会
49,32283,43：熊本県,両迫間日渡遺跡,玉名市両迫間,07-Ⅱ区　木樋　Code№9690-1,木材(クスノキ),T,d,古墳時代中期以前,----,ABCD,IAAA-70343,AMS法,2980,40,2981,36,-30.9,0.54,----,パリノ・サーヴェイ,加速器分析研究所,2014,両迫間日渡遺跡検出木樋の自然科学分析調査,375?388,----,熊本県文化財調査報告　第299集　玉名平野条里跡3･両迫間日渡遺跡2･玉名の平城跡　県道玉名山鹿線改良工事に伴う埋蔵文化財発掘調査･県道6号(玉名立花線)拡幅工事に伴う埋蔵文化財調査　,熊本県教育委員会
50,32282,43：熊本県,両迫間日渡遺跡,玉名市両迫間,試料名:AMS-4　Code№8938-4,杭(木材:コナラ属アカガシ亜属),T,d,弥生時代後期,----,C,PLD-4625,AMS法,1800,25,1799,25,-27.96,0.14,----,パリノ・サーヴェイ,パレオ・ラボ,2014,両迫間日渡遺跡の自然科学分析,344?352,----,熊本県文化財調査報告　第299集　玉名平野条里跡3･両迫間日渡遺跡2･玉名の平城跡　県道玉名山鹿線改良工事に伴う埋蔵文化財発掘調査･県道6号(玉名立花線)拡幅工事に伴う埋蔵文化財調査　,熊本県教育委員会
51,32281,43：熊本県,両迫間日渡遺跡,玉名市両迫間,試料名:AMS-3　Code№8938-3,杭(木材:クリ),T,d,弥生時代後期,----,C,PLD-4624,AMS法,1800,25,1798,23,-29.18,0.11,----,パリノ・サーヴェイ,パレオ・ラボ,2014,両迫間日渡遺跡の自然科学分析,344?352,----,熊本県文化財調査報告　第299集　玉名平野条里跡3･両迫間日渡遺跡2･玉名の平城跡　県道玉名山鹿線改良工事に伴う埋蔵文化財発掘調査･県道6号(玉名立花線)拡幅工事に伴う埋蔵文化財調査　,熊本県教育委員会
52,32280,43：熊本県,両迫間日渡遺跡,玉名市両迫間,試料名:AMS-2　Code№8938-2,杭(木材:クリ),T,d,弥生時代後期,----,C,PLD-4623,AMS法,1820,25,1821,24,-28.11,0.29,----,パリノ・サーヴェイ,パレオ・ラボ,2014,両迫間日渡遺跡の自然科学分析,344?352,----,熊本県文化財調査報告　第299集　玉名平野条里跡3･両迫間日渡遺跡2･玉名の平城跡　県道玉名山鹿線改良工事に伴う埋蔵文化財発掘調査･県道6号(玉名立花線)拡幅工事に伴う埋蔵文化財調査　,熊本県教育委員会
53,32219,43：熊本県,両迫間日渡遺跡,玉名市両迫間,実測番号:14　06-Ⅱ区　B12　9?10層,生木(ムクロジ),T,d,弥生時代中期?後期,----,C,IAAA-110361,AMS法,1920,30,1915,25,-27.26,0.5,----,パリノ・サーヴェイ(編集:亀田),加速器分析研究所,2012,両迫間日渡遺跡の自然科学分析(分析抜粋),96?99,----,熊本県文化財調査報告　第268集　長山前田遺跡･両迫間日渡遺跡1,熊本県教育委員会
54,32535,43：熊本県,両迫間日渡遺跡,玉名市玉名字石町･両迫間字龍王田,№7　丸杭2-20,木材,T,d,弥生時代前期?中期,----,C,不明,AMS法,1950,25,1950,23,-29.73,0.13,----,吉田生物研究所,不明,2009,玉名市両迫間日渡遺跡(調査Ⅰ区)出土木製品の放射性炭素年代測定,500?505,----,玉名市文化財調査報告　第19集　両迫間日渡遺跡　九州新幹線新玉名駅周辺整備事業に伴う埋蔵文化財発掘調査,玉名市教育委員会
55,32543,43：熊本県,両迫間日渡遺跡,玉名市玉名字石町･両迫間字龍王田,№15　角杭3-8,木材,T,d,弥生時代前期?中期,----,C,不明,AMS法,2080,20,2082,21,-26.39,0.17,----,吉田生物研究所,不明,2009,玉名市両迫間日渡遺跡(調査Ⅰ区)出土木製品の放射性炭素年代測定,500?505,----,玉名市文化財調査報告　第19集　両迫間日渡遺跡　九州新幹線新玉名駅周辺整備事業に伴う埋蔵文化財発掘調査,玉名市教育委員会
56,32551,43：熊本県,両迫間日渡遺跡,玉名市玉名字石町･両迫間字龍王田,№23　板状杭ｶ　無-23,木材,T,d,弥生時代前期?中期,----,C,不明,AMS法,2035,20,2033,22,-27,0.11,----,吉田生物研究所,不明,2009,玉名市両迫間日渡遺跡(調査Ⅰ区)出土木製品の放射性炭素年代測定,500?505,----,玉名市文化財調査報告　第19集　両迫間日渡遺跡　九州新幹線新玉名駅周辺整備事業に伴う埋蔵文化財発掘調査,玉名市教育委員会
57,32559,43：熊本県,両迫間日渡遺跡,玉名市玉名字石町･両迫間字龍王田,№4　杭列D-4　杭,木材,T,d,中世後期?近世初頭,----,FG,不明,AMS法,280,25,280,23,-29.56,0.11,----,吉田生物研究所,不明,2009,玉名市両迫間日渡遺跡(調査Ⅱ区･Ⅲ区･Ⅳ区)出土木製品の放射性炭素年代測定,511?513,----,玉名市文化財調査報告　第19集　両迫間日渡遺跡　九州新幹線新玉名駅周辺整備事業に伴う埋蔵文化財発掘調査,玉名市教育委員会
58,32561,43：熊本県,両迫間日渡遺跡,玉名市玉名字石町･両迫間字龍王田,№6　S002　二又鍬,木材,T,d,古代,----,E,不明,AMS法,1725,25,1726,25,-30.99,0.14,----,吉田生物研究所,不明,2009,玉名市両迫間日渡遺跡(調査Ⅱ区･Ⅲ区･Ⅳ区)出土木製品の放射性炭素年代測定,511?513,----,玉名市文化財調査報告　第19集　両迫間日渡遺跡　九州新幹線新玉名駅周辺整備事業に伴う埋蔵文化財発掘調査,玉名市教育委員会
